geo_area_name,Year,Poverty_Rate
Bronx,2005,27.2
Bronx,2006,26
Bronx,2007,24.9
Bronx,2008,26.2
Bronx,2009,25.5
Bronx,2010,25.6
Bronx,2011,26
Bronx,2012,25.2
Bronx,2013,25
Bronx,2014,26.4
Bronx,2015,27.5
Bronx,2016,25
Brooklyn,2005,23.7
Brooklyn,2006,23.6
Brooklyn,2007,24.1
Brooklyn,2008,22.3
Brooklyn,2009,23.1
Brooklyn,2010,24.4
Brooklyn,2011,23.9
Brooklyn,2012,22.3
Brooklyn,2013,22.1
Brooklyn,2014,21.7
Brooklyn,2015,21.2
Brooklyn,2016,20.5
Manhattan,2005,15.8
Manhattan,2006,14.8
Manhattan,2007,14.4
Manhattan,2008,13.8
Manhattan,2009,13.6
Manhattan,2010,14.5
Manhattan,2011,14.7
Manhattan,2012,14.7
Manhattan,2013,15.8
Manhattan,2014,14.3
Manhattan,2015,14.4
Manhattan,2016,13.9
Queens,2005,17.3
Queens,2006,17
Queens,2007,17.3
Queens,2008,16.4
Queens,2009,17.6
Queens,2010,20
Queens,2011,21.1
Queens,2012,21.8
Queens,2013,21
Queens,2014,20.7
Queens,2015,18.4
Queens,2016,19.2
Staten Island,2005,12.2
Staten Island,2006,12.3
Staten Island,2007,12.7
Staten Island,2008,11.4
Staten Island,2009,14.7
Staten Island,2010,13.5
Staten Island,2011,15.3
Staten Island,2012,13.4
Staten Island,2013,15.4
Staten Island,2014,17.9
Staten Island,2015,15.6
Staten Island,2016,16.9
